range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
D,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Bournemouth,0,Bournemouth AH 0,0.5138,1.946,2.043,1.80
D,football_data_538130,EPL,2026-05-05 03:00,Everton,Man City,Man City,-0.5,Man City AH -0.5,0.5117,1.954,2.052,
D,football_data_542702,L1,2026-05-11 03:00,Rennes,Paris FC,Paris FC,+1,Paris FC AH +1,0.5102,1.96,2.058,
D,football_data_540701,Bundesliga,2026-05-09 21:30,RB Leipzig,St Pauli,St Pauli,+1.5,St Pauli AH +1.5,0.5076,1.97,2.068,
D,football_data_537164,SerieA,2026-05-05 00:30,Cremonese,Lazio,Cremonese,+0.5,Cremonese AH +0.5,0.5069,1.973,2.071,
D,football_data_540698,Bundesliga,2026-05-09 21:30,Hoffenheim,Werder Bremen,Hoffenheim,-1.5,Hoffenheim AH -1.5,0.5061,1.976,2.075,
D,football_data_542694,L1,2026-05-11 03:00,Le Havre,Marseille,Marseille,-0.5,Marseille AH -0.5,0.5061,1.976,2.075,
D,football_data_542701,L1,2026-05-11 03:00,Angers,Strasbourg,Strasbourg,-0.5,Strasbourg AH -0.5,0.5043,1.983,2.082,
D,football_data_540695,Bundesliga,2026-05-09 21:30,Stuttgart,Leverkusen,Leverkusen,+0.5,Leverkusen AH +0.5,0.5039,1.985,2.084,
D,football_data_540702,Bundesliga,2026-05-10 23:30,FC Koln,Heidenheim,FC Koln,-1,FC Koln AH -1,0.503,1.988,2.087,
D,football_data_542698,L1,2026-05-11 03:00,Toulouse,Lyon,Lyon,0,Lyon AH 0,0.5024,1.991,2.09,
D,football_data_542698,L1,2026-05-11 03:00,Toulouse,Lyon,Toulouse,0,Toulouse AH 0,0.4976,2.009,2.11,
D,football_data_540702,Bundesliga,2026-05-10 23:30,FC Koln,Heidenheim,Heidenheim,+1,Heidenheim AH +1,0.497,2.012,2.113,
D,football_data_540695,Bundesliga,2026-05-09 21:30,Stuttgart,Leverkusen,Stuttgart,-0.5,Stuttgart AH -0.5,0.4961,2.016,2.116,
D,football_data_542701,L1,2026-05-11 03:00,Angers,Strasbourg,Angers,+0.5,Angers AH +0.5,0.4957,2.017,2.118,
D,football_data_540698,Bundesliga,2026-05-09 21:30,Hoffenheim,Werder Bremen,Werder Bremen,+1.5,Werder Bremen AH +1.5,0.4939,2.025,2.126,
D,football_data_542694,L1,2026-05-11 03:00,Le Havre,Marseille,Le Havre,+0.5,Le Havre AH +0.5,0.4939,2.025,2.126,
D,football_data_537164,SerieA,2026-05-05 00:30,Cremonese,Lazio,Lazio,-0.5,Lazio AH -0.5,0.4931,2.028,2.13,
D,football_data_540701,Bundesliga,2026-05-09 21:30,RB Leipzig,St Pauli,RB Leipzig,-1.5,RB Leipzig AH -1.5,0.4924,2.031,2.133,
D,football_data_542702,L1,2026-05-11 03:00,Rennes,Paris FC,Rennes,-1,Rennes AH -1,0.4898,2.042,2.144,
D,football_data_538130,EPL,2026-05-05 03:00,Everton,Man City,Everton,+0.5,Everton AH +0.5,0.4883,2.048,2.15,
D,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Fulham,0,Fulham AH 0,0.4862,2.057,2.16,2.05
D,football_data_540700,Bundesliga,2026-05-11 01:30,Mainz,Union Berlin,Union Berlin,+0.5,Union Berlin AH +0.5,0.4854,2.06,2.163,
D,football_data_537168,SerieA,2026-05-09 02:45,Torino,Sassuolo,Torino,+0.5,Torino AH +0.5,0.4838,2.067,2.17,
D,football_data_544557,LaLiga,2026-05-10 03:00,Sociedad,Betis,Betis,+0.5,Betis AH +0.5,0.4839,2.066,2.17,
D,football_data_538141,EPL,2026-05-10 00:30,Man City,Brentford,Man City,-1,Man City AH -1,0.4835,2.068,2.172,
D,football_data_538136,EPL,2026-05-09 22:00,Brighton,Wolves,Wolves,+0.5,Wolves AH +0.5,0.4833,2.069,2.173,
D,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Hamburg,0,Hamburg AH 0,0.4833,2.069,2.173,
D,football_data_538143,EPL,2026-05-12 03:00,Tottenham,Leeds,Leeds,-1,Leeds AH -1,0.4793,2.086,2.191,
D,football_data_537167,SerieA,2026-05-09 21:00,Cagliari,Udinese,Cagliari,0,Cagliari AH 0,0.4773,2.095,2.2,
D,football_data_537172,SerieA,2026-05-12 02:45,Napoli,Bologna,Napoli,-0.5,Napoli AH -0.5,0.4764,2.099,2.204,
D,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,West Ham,+1,West Ham AH +1,0.4757,2.102,2.207,1.78
D,football_data_540696,Bundesliga,2026-05-09 02:30,Dortmund,Ein Frankfurt,Ein Frankfurt,+1.5,Ein Frankfurt AH +1.5,0.4741,2.109,2.215,
D,football_data_538140,EPL,2026-05-09 19:30,Liverpool,Chelsea,Liverpool,-1,Liverpool AH -1,0.4735,2.112,2.218,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Elche,-0.5,Elche AH -0.5,0.4727,2.116,2.221,
D,football_data_537173,SerieA,2026-05-10 21:00,Cremonese,Pisa,Pisa,0,Pisa AH 0,0.4714,2.121,2.227,
D,football_data_538137,EPL,2026-05-10 21:00,Crystal Palace,Everton,Everton,-0.5,Everton AH -0.5,0.4693,2.131,2.238,
D,football_data_544550,LaLiga,2026-05-05 03:00,Sevilla,Sociedad,Sociedad,-0.5,Sociedad AH -0.5,0.4664,2.144,2.251,
D,football_data_538135,EPL,2026-05-09 22:00,Sunderland,Man United,Sunderland,+0.5,Sunderland AH +0.5,0.4662,2.145,2.252,
D,football_data_544559,LaLiga,2026-05-11 00:30,Real Oviedo,Getafe,Real Oviedo,-0.5,Real Oviedo AH -0.5,0.4655,2.148,2.256,
D,football_data_538142,EPL,2026-05-10 21:00,Nott'm Forest,Newcastle,Nott'm Forest,-0.5,Nott'm Forest AH -0.5,0.4646,2.152,2.26,
D,football_data_537155,SerieA,2026-05-05 02:45,Roma,Fiorentina,Fiorentina,+1,Fiorentina AH +1,0.4635,2.157,2.265,
D,football_data_537171,SerieA,2026-05-11 00:00,Parma,Roma,Parma,+1,Parma AH +1,0.4619,2.165,2.273,
D,football_data_544554,LaLiga,2026-05-09 03:00,Levante,Osasuna,Osasuna,-0.5,Osasuna AH -0.5,0.4616,2.166,2.275,
D,football_data_544560,LaLiga,2026-05-12 03:00,Vallecano,Girona,Girona,-0.5,Girona AH -0.5,0.4609,2.17,2.278,
D,football_data_544552,LaLiga,2026-05-10 00:30,Atletico Madrid,Celta,Atletico Madrid,-0.5,Atletico Madrid AH -0.5,0.4595,2.177,2.285,
D,football_data_537174,SerieA,2026-05-10 02:45,Lecce,Juventus,Juventus,-1.5,Juventus AH -1.5,0.4591,2.178,2.287,
D,football_data_538129,EPL,2026-05-04 22:00,Chelsea,Nott'm Forest,Nott'm Forest,0,Nott'm Forest AH 0,0.4555,2.195,2.305,
D,football_data_537165,SerieA,2026-05-10 21:00,Fiorentina,Genoa,Fiorentina,0,Fiorentina AH 0,0.4547,2.199,2.309,
