home_team,away_team,league,kickoff,home_odds,draw_odds,away_odds,over_0_5_odds,under_0_5_odds,over_1_5_odds,under_1_5_odds,over_2_5_odds,under_2_5_odds,over_3_0_odds,under_3_0_odds,over_3_5_odds,under_3_5_odds,btts_yes_odds,btts_no_odds,home_over_0_5_odds,home_under_0_5_odds,home_over_1_5_odds,home_under_1_5_odds,home_over_2_5_odds,home_under_2_5_odds,away_over_0_5_odds,away_under_0_5_odds,away_over_1_5_odds,away_under_1_5_odds,away_over_2_5_odds,away_under_2_5_odds,handicap_line,handicap_home_odds,handicap_away_odds
Man City,Brentford,EPL,2026-05-10 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atletico Madrid,Celta,LaLiga,2026-05-10 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecce,Juventus,SerieA,2026-05-10 02:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sociedad,Betis,LaLiga,2026-05-10 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verona,Como,SerieA,2026-05-10 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallorca,Villarreal,LaLiga,2026-05-10 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnley,Aston Villa,EPL,2026-05-10 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,Everton,EPL,2026-05-10 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nott'm Forest,Newcastle,EPL,2026-05-10 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremonese,Pisa,SerieA,2026-05-10 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiorentina,Genoa,SerieA,2026-05-10 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamburg,Freiburg,Bundesliga,2026-05-10 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath Bilbao,Valencia,LaLiga,2026-05-10 22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Koln,Heidenheim,Bundesliga,2026-05-10 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Ham,Arsenal,EPL,2026-05-10 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parma,Roma,SerieA,2026-05-11 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Oviedo,Getafe,LaLiga,2026-05-11 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz,Union Berlin,Bundesliga,2026-05-11 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC Milan,Atalanta,SerieA,2026-05-11 02:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angers,Strasbourg,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auxerre,Nice,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Havre,Marseille,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metz,Lorient,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,Lille,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSG,Brest,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennes,Paris FC,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toulouse,Lyon,L1,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Real Madrid,LaLiga,2026-05-11 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napoli,Bologna,SerieA,2026-05-12 02:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Leeds,EPL,2026-05-12 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallecano,Girona,LaLiga,2026-05-12 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
